Timestamp,Temperature_C,Humidity_Percent,Vibration_mms,Battery_Voltage,Pressure_hPa
2024-11-18 10:00,28.5,45,2.1,3.92,1012
2024-11-18 10:05,28.7,44,2.3,3.91,1011
2024-11-18 10:10,29.0,45,2.4,3.90,1011
2024-11-18 10:15,29.2,46,2.2,3.90,1010
2024-11-18 10:20,29.1,47,2.3,3.89,1010
2024-11-18 10:25,29.3,46,2.5,3.88,1009
2024-11-18 10:30,29.6,48,2.7,3.88,1009
2024-11-18 10:35,29.8,49,2.8,3.87,1008
2024-11-18 10:40,30.0,50,3.0,3.87,1008
2024-11-18 10:45,30.2,51,3.1,3.86,1007
2024-11-18 10:50,30.4,51,3.3,3.86,1007
2024-11-18 10:55,30.5,52,3.4,3.85,1006
